Nom;Catégorie;Description;Lien
Bitrix24;CRM & Business Management;All-in-one platform including CRM; project management
FreshOffice;CRM & Business Management;Integrated management tool with CRM; accounting
JivoChat (JivoSite);Customer Support & Live Chat;Integrated multichannel chat (website; WhatsApp
Creatio (BpmOnline);CRM & Automation;CRM with low-code BPM engine. Perfect for automating sales; marketing
InSales;E-commerce;SaaS platform to create an online store. Manages products; payments
amoCRM;CRM & Sales;Messaging-focused CRM (WhatsApp; Facebook
Albato Telegram bot;Automation & Notification;Send/receive Telegram messages via Albato. Used in automated workflows.;https://albato.com
Google Sheets;Office & Collaboration;Collaborative online spreadsheets. Great for data analysis and managing shared tables.;https://www.google.com/sheets
Facebook;Social Media;Social network for communication; targeted ads
Kissmetrics;Analytics & User Tracking;Analyzes user behavior to optimize conversion. Used for data-driven marketing.;https://www.kissmetrics.io
Email;Communication;Universal digital communication tool. Used for direct messages; marketing
Tilda;Website Creation;No-code platform to build websites or sales pages. Offers a simple visual editor.;https://tilda.cc
Webhook;Automation;HTTP event system to send data to another app. Used to connect services in real time.;https://fr.wikipedia.org/wiki/Webhook
MailChimp;Emailing & Marketing;Complete email marketing tool: campaigns; automation
MarketCall;Marketing & Phone Leads;Pay Per Call platform. Connects advertisers with affiliates generating qualified calls.;https://marketcall.ru
ExpertSender;Emailing & Marketing;Multichannel marketing automation (email; SMS
GetCourse;Online Learning & CRM;Platform to sell online courses; track students
SendPulse;Emailing & Multichannel;All-in-one marketing automation: emails; SMS
BitBucket;Development;Git hosting by Atlassian. Used to manage team code with Jira integration.;https://bitbucket.org
Chat2Desk;Customer Support & Messaging;Centralizes chats via WhatsApp; Telegram
Pyrus;Task & Workflow Management;Task management tool with approval workflows. Helps structure internal processes.;https://pyrus.com
MiniCRM;CRM;Simple and effective CRM for small businesses. Helps track leads; clients
Suite CRM;CRM;Open-source alternative to Salesforce. Manages contacts; opportunities
SendBox;Emailing & Marketing;Tool for bulk email sending with performance tracking. Used for simple promotional campaigns.;https://sendbox.co
GetResponse;Emailing & Funnels;All-in-one marketing platform: emails; sales funnels
CallGear;Telephony & Analytics;Cloud telephony solution with call tracking. Analyzes incoming calls and ad performance.;https://callgear.com
Zendesk;Customer Support;Leading multichannel customer support platform (email; chat
LPgenerator;Landing Pages;Landing page builder optimized for conversion. Ideal for advertising campaigns.;https://lpgenerator.ru
Chatra;Customer Support & Chat;Online chat tool with visitor tracking. Designed for small businesses.;https://chatra.io
Neaktor;Project Management;Task management and team collaboration tool. Includes documents; comments
Trello;Project Management;Visual tool based on Kanban boards. Useful for tracking projects and organizing team work.;https://trello.com
Google BigQuery;Database & Analytics;Google’s cloud data warehouse for massive analysis. Built for big data and fast SQL queries.;https://cloud.google.com/bigquery
AliExpress;E-commerce & Suppliers;B2C and B2B marketplace. Used for dropshipping or direct product import.;https://www.aliexpress.com
DPD;Logistics & Delivery;Parcel delivery service. Integrable into e-commerce stores for order tracking.;https://www.dpd.com
YouTrack;Development & Bug Tracking;Bug and issue tracker for developers. Integrated with agile workflows.;https://www.jetbrains.com/youtrack
HTTP Request/Outgoing webhook;Automation;Sends custom HTTP requests to third-party APIs. Serves as a universal connector.;https://fr.wikipedia.org/wiki/HTTP
TikTok;Social Media;Short-video social network. Used in marketing for branding and native ads.;https://www.tiktok.com
Telegram;Messaging;Secure messaging app. Used for customer support or bot notifications.;https://telegram.org
ClickHouse;Database & BI;Open-source columnar DBMS optimized for real-time analytics. Handles large data volumes.;https://clickhouse.com
