Nombre;Categoría;Descripción;Enlace
Bitrix24;CRM y Gestión Empresarial;Plataforma todo en uno que incluye CRM; gestión de proyectos
FreshOffice;CRM y Gestión Empresarial;Herramienta de gestión integrada con CRM; contabilidad
JivoChat (JivoSite);Atención al Cliente y Chat en Vivo;Chat multicanal integrado (sitio web; WhatsApp
Creatio (BpmOnline);CRM y Automatización;CRM con motor BPM low-code. Ideal para automatizar ventas; marketing y servicio al cliente.
InSales;Comercio Electrónico;Plataforma SaaS para crear una tienda online. Gestiona productos; pagos
amoCRM;CRM y Ventas;CRM enfocado en mensajería (WhatsApp; Facebook
Albato Telegram bot;Automatización y Notificación;Permite enviar/recibir mensajes de Telegram a través de Albato. Usado en flujos de trabajo automatizados.;https://albato.com
Google Sheets;Ofimática y Colaboración;Hojas de cálculo online colaborativas. Ideal para análisis de datos y gestión de tablas compartidas.;https://www.google.com/sheets
Facebook;Redes Sociales;Red social para comunicación; publicidad dirigida y gestión de páginas de empresa.
Kissmetrics;Analítica y Seguimiento de Usuarios;Analiza el comportamiento del usuario para optimizar la conversión. Usado para marketing basado en datos.;https://www.kissmetrics.io
Email;Comunicación;Herramienta de comunicación digital universal. Usado para mensajes directos; marketing o soporte.
Tilda;Creación de Sitios;Plataforma no-code para crear sitios web o páginas de venta. Ofrece un editor visual sencillo.;https://tilda.cc
Webhook;Automatización;Sistema de eventos HTTP para enviar datos a otra app. Usado para conectar servicios en tiempo real.;https://fr.wikipedia.org/wiki/Webhook
MailChimp;Emailing y Marketing;Herramienta completa de email marketing: campañas; automatización
MarketCall;Marketing y Leads Telefónicos;Plataforma Pay Per Call. Conecta anunciantes y afiliados que generan llamadas cualificadas.;https://marketcall.ru
ExpertSender;Emailing y Marketing;Automatización de marketing multicanal (email; SMS
GetCourse;Formación Online y CRM;Plataforma para vender cursos online; seguir estudiantes y automatizar ventas.
SendPulse;Emailing y Multicanal;Solución de automatización de marketing: emails; SMS
BitBucket;Desarrollo;Alojamiento Git de Atlassian. Usado para gestionar código en equipo con integración a Jira.;https://bitbucket.org
Chat2Desk;Atención al cliente y mensajería;Centraliza chats desde WhatsApp; Telegram
Pyrus;Gestión de tareas y flujos de trabajo;Herramienta de gestión de tareas con aprobación en flujo de trabajo. Estructura los procesos internos.;https://pyrus.com
MiniCRM;CRM;CRM simple y eficaz para PYMES. Ayuda a seguir clientes potenciales; clientes
Suite CRM;CRM;Alternativa open source a Salesforce. Gestiona contactos; oportunidades
SendBox;Email marketing y marketing;Herramienta para enviar correos masivos con seguimiento de rendimiento. Para campañas promocionales simples.;https://sendbox.co
GetResponse;Email marketing y embudos;Plataforma todo-en-uno: emails; embudos de ventas
